soil_property,model_name,unit_transform,n,rmse,bias,rsq,nse,kge,kge_r,kge_alpha,kge_beta,ccc,rpiq
fe.ox_usda.a60_w.pct,mir_cubist_kssl_na_v1.2,log1p,28259,0.124,0.007,0.817,0.81,0.667,0.904,0.682,0.977,0.887,2.751
fe.ox_usda.a60_w.pct,mir_cubist_ossl_na_v1.2,log1p,28259,0.129,0.007,0.8,0.795,0.665,0.895,0.683,0.976,0.878,2.646
fe.ox_usda.a60_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1354,0.155,0.012,0.578,0.565,0.384,0.76,0.434,0.955,0.698,1.753
k.ext_usda.a1065_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.515,-0.015,0.806,0.801,0.668,0.898,0.684,1.003,0.882,2.142
k.ext_usda.a1065_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3772,0.524,-0.006,0.763,0.759,0.629,0.874,0.652,1.001,0.854,2.529
k.ext_usda.a725_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53230,0.172,0.012,0.8,0.795,0.673,0.895,0.692,0.971,0.879,2.405
k.ext_usda.a725_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57674,0.175,0.014,0.793,0.786,0.651,0.89,0.67,0.966,0.872,2.358
k.ext_usda.a725_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.222,0.026,0.542,0.533,0.402,0.737,0.468,0.932,0.684,1.747
k.ext_usda.a725_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,44489,0.234,0.024,0.64,0.63,0.482,0.8,0.524,0.959,0.758,2.159
mg.ext_usda.a1066_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.467,-0.024,0.895,0.895,0.84,0.946,0.849,1.004,0.943,4.448
mg.ext_usda.a1066_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3773,0.443,-0.025,0.888,0.887,0.816,0.943,0.826,1.005,0.938,4.394
mg.ext_usda.a724_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53232,0.256,-0.004,0.921,0.921,0.881,0.96,0.888,1.003,0.958,5.275
mg.ext_usda.a724_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57093,0.26,-0.005,0.92,0.919,0.874,0.959,0.881,1.003,0.957,5.289
mg.ext_usda.a724_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.406,0.011,0.724,0.721,0.609,0.851,0.639,0.99,0.83,2.851
mg.ext_usda.a724_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,3731,0.397,0.013,0.78,0.776,0.65,0.883,0.67,0.985,0.866,3.271
mn.ext_usda.a1067_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.609,-0.025,0.796,0.792,0.672,0.892,0.69,1.007,0.877,2.845
mn.ext_usda.a1067_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3772,0.676,-0.033,0.76,0.753,0.607,0.872,0.629,1.009,0.848,2.737
mn.ext_usda.a70_mg.kg,mir_cubist_kssl_na_v1.2,log1p,14166,0.741,0.053,0.685,0.675,0.507,0.828,0.54,0.954,0.789,2.064
mn.ext_usda.a70_mg.kg,mir_cubist_ossl_na_v1.2,log1p,14166,0.741,0.056,0.685,0.675,0.505,0.828,0.539,0.952,0.789,2.064
mn.ext_usda.a70_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,716,0.784,0.091,0.296,0.282,0.097,0.544,0.227,0.898,0.419,1.527
n.tot_usda.a623_w.pct,mir_cubist_kssl_na_v1.2,log1p,76594,0.057,0.002,0.969,0.969,0.965,0.985,0.969,0.992,0.984,3.818
n.tot_usda.a623_w.pct,mir_cubist_ossl_na_v1.2,log1p,81282,0.056,0.002,0.969,0.969,0.964,0.984,0.968,0.992,0.984,3.622
n.tot_usda.a623_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.069,0.003,0.695,0.69,0.559,0.833,0.593,0.982,0.805,2.006
n.tot_usda.a623_w.pct,visnir_cubist_kssl_na_v1.2,log1p,19806,0.099,-0,0.934,0.934,0.915,0.967,0.921,1.001,0.966,5.295
n.tot_usda.a623_w.pct,visnir_cubist_ossl_na_v1.2,log1p,60570,0.081,0.003,0.921,0.92,0.884,0.959,0.892,0.991,0.958,2.52
na.ext_usda.a1068_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.782,0.026,0.753,0.75,0.638,0.868,0.664,0.993,0.85,2.636
na.ext_usda.a1068_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3616,0.716,0.022,0.677,0.671,0.527,0.823,0.562,0.994,0.789,1.657
na.ext_usda.a726_cmolc.kg,mir_cubist_kssl_na_v1.2,log1p,53230,0.403,0.031,0.821,0.814,0.668,0.906,0.692,0.922,0.89,0.482
na.ext_usda.a726_cmolc.kg,mir_cubist_ossl_na_v1.2,log1p,57075,0.42,0.04,0.796,0.788,0.624,0.892,0.656,0.895,0.872,0.469
na.ext_usda.a726_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.431,0.063,0.416,0.332,-0.006,0.645,0.146,0.605,0.424,0.114
na.ext_usda.a726_cmolc.kg,visnir_cubist_ossl_na_v1.2,log1p,3715,0.337,0.038,0.542,0.517,0.288,0.736,0.357,0.844,0.645,0.778
oc_usda.c729_w.pct,mir_cubist_kssl_na_v1.2,log1p,75929,0.114,0.004,0.99,0.99,0.992,0.995,0.995,0.997,0.995,11.009
oc_usda.c729_w.pct,mir_cubist_ossl_na_v1.2,log1p,82573,0.119,0.004,0.989,0.989,0.991,0.994,0.994,0.997,0.994,9.984
oc_usda.c729_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1974,0.251,-0.006,0.805,0.805,0.763,0.897,0.787,1.006,0.891,3.22
oc_usda.c729_w.pct,visnir_cubist_kssl_na_v1.2,log1p,19747,0.232,-0.008,0.972,0.972,0.966,0.986,0.97,1.005,0.986,11.243
oc_usda.c729_w.pct,visnir_cubist_ossl_na_v1.2,log1p,64211,0.236,-0.001,0.945,0.945,0.928,0.972,0.934,1.001,0.971,4.202
p.ext_usda.a1070_mg.kg,mir_cubist_kssl_na_v1.2,log1p,25602,0.807,0.005,0.683,0.675,0.508,0.827,0.54,0.998,0.789,2.838
p.ext_usda.a1070_mg.kg,mir_cubist_ossl_na_v1.2,log1p,27690,0.802,0.014,0.674,0.669,0.534,0.821,0.57,0.994,0.789,2.787
p.ext_usda.a1070_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,log1p,754,1.159,-0.01,0.299,0.298,0.138,0.547,0.267,1.004,0.446,1.804
p.ext_usda.a270_mg.kg,mir_cubist_kssl_na_v1.2,log1p,7146,0.756,0.028,0.726,0.721,0.581,0.852,0.608,0.986,0.826,3.021
p.ext_usda.a270_mg.kg,mir_cubist_ossl_na_v1.2,log1p,7282,0.76,0.035,0.719,0.714,0.591,0.848,0.621,0.982,0.824,2.974
p.ext_usda.a274_mg.kg,mir_cubist_kssl_na_v1.2,log1p,15359,0.7,0.024,0.638,0.634,0.499,0.799,0.541,0.988,0.763,2.591
p.ext_usda.a274_mg.kg,mir_cubist_ossl_na_v1.2,log1p,16084,0.745,0.024,0.606,0.602,0.468,0.778,0.517,0.988,0.738,2.488
p.ext_usda.a274_mg.kg,visnir_cubist_ossl_na_v1.2,log1p,40764,1.025,-0.135,0.421,0.402,0.222,0.649,0.308,1.047,0.546,1.268
ph.cacl2_usda.a481_index,mir_cubist_kssl_na_v1.2,original,52946,0.365,0.011,0.931,0.931,0.894,0.965,0.9,0.998,0.964,6.742
ph.cacl2_usda.a481_index,mir_cubist_ossl_na_v1.2,original,53819,0.364,0.014,0.931,0.931,0.894,0.965,0.9,0.998,0.964,6.729
ph.cacl2_usda.a481_index,nir.neospectra_cubist_ossl_na_v1.2,original,1976,0.677,0.017,0.738,0.738,0.676,0.859,0.709,0.997,0.846,3.545
ph.cacl2_usda.a481_index,visnir_cubist_ossl_na_v1.2,original,40848,0.378,0.002,0.929,0.929,0.92,0.964,0.929,1,0.963,7.15
ph.h2o_usda.a268_index,mir_cubist_kssl_na_v1.2,original,52867,0.385,0.003,0.916,0.915,0.873,0.957,0.881,1,0.955,5.825
ph.h2o_usda.a268_index,mir_cubist_ossl_na_v1.2,original,59997,0.396,0.006,0.911,0.911,0.87,0.955,0.879,0.999,0.953,5.633
ph.h2o_usda.a268_index,nir.neospectra_cubist_ossl_na_v1.2,original,1976,0.641,0.009,0.746,0.745,0.681,0.864,0.712,0.999,0.851,3.387
ph.h2o_usda.a268_index,visnir_cubist_ossl_na_v1.2,original,44590,0.431,-0.001,0.899,0.899,0.876,0.948,0.888,1,0.946,5.757
s.tot_usda.a624_w.pct,mir_cubist_kssl_na_v1.2,log1p,76592,0.071,0.005,0.934,0.933,0.862,0.967,0.88,0.941,0.964,0.64
s.tot_usda.a624_w.pct,mir_cubist_ossl_na_v1.2,log1p,76592,0.073,0.006,0.932,0.93,0.855,0.965,0.874,0.938,0.963,0.627
s.tot_usda.a624_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1976,0.08,0.008,0.886,0.885,0.793,0.941,0.858,0.861,0.938,0.341
s.tot_usda.a624_w.pct,visnir_cubist_kssl_na_v1.2,log1p,19807,0.078,0.008,0.774,0.755,0.53,0.88,0.564,0.875,0.844,0.475
s.tot_usda.a624_w.pct,visnir_cubist_ossl_na_v1.2,log1p,19807,0.082,0.008,0.746,0.73,0.521,0.864,0.56,0.871,0.827,0.452
sand.tot_usda.c60_w.pct,mir_cubist_kssl_na_v1.2,original,50012,7.478,0.005,0.934,0.934,0.903,0.966,0.909,1,0.965,6.526
sand.tot_usda.c60_w.pct,mir_cubist_ossl_na_v1.2,original,57162,8.332,0.004,0.917,0.917,0.886,0.958,0.894,1,0.956,5.845
sand.tot_usda.c60_w.pct,nir.neospectra_cubist_ossl_na_v1.2,original,1976,18.155,0.631,0.586,0.582,0.452,0.765,0.505,0.985,0.722,2.579
sand.tot_usda.c60_w.pct,visnir_cubist_ossl_na_v1.2,original,27086,15.124,0.041,0.676,0.674,0.566,0.822,0.604,0.999,0.797,2.843
silt.tot_usda.c62_w.pct,mir_cubist_kssl_na_v1.2,original,50013,6.626,0.051,0.895,0.894,0.841,0.946,0.851,0.999,0.943,4.603
silt.tot_usda.c62_w.pct,mir_cubist_ossl_na_v1.2,original,57215,7.312,0.046,0.875,0.874,0.813,0.935,0.825,0.999,0.931,4.404
silt.tot_usda.c62_w.pct,nir.neospectra_cubist_ossl_na_v1.2,original,1976,13.786,0.184,0.538,0.531,0.369,0.733,0.428,0.995,0.672,2.169
silt.tot_usda.c62_w.pct,visnir_cubist_ossl_na_v1.2,original,27139,11.254,0.16,0.668,0.666,0.556,0.817,0.595,0.996,0.791,2.488
wr.1500kPa_usda.a417_w.pct,mir_cubist_kssl_na_v1.2,log1p,40284,0.185,-0.002,0.94,0.94,0.922,0.969,0.928,1.001,0.969,4.457
wr.1500kPa_usda.a417_w.pct,mir_cubist_ossl_na_v1.2,log1p,41345,0.188,-0.002,0.938,0.938,0.918,0.968,0.924,1.001,0.968,4.411
wr.1500kPa_usda.a417_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1951,0.36,-0.018,0.647,0.645,0.542,0.804,0.586,1.008,0.776,2.129
wr.1500kPa_usda.a417_w.pct,visnir_cubist_ossl_na_v1.2,log1p,971,0.426,-0.036,0.607,0.598,0.443,0.779,0.489,1.012,0.73,1.848
wr.33kPa_usda.a415_w.pct,mir_cubist_kssl_na_v1.2,log1p,18536,0.217,0,0.833,0.832,0.753,0.913,0.769,1,0.905,2.257
wr.33kPa_usda.a415_w.pct,mir_cubist_ossl_na_v1.2,log1p,19459,0.22,-0,0.83,0.829,0.756,0.911,0.773,1,0.903,2.268
wr.33kPa_usda.a415_w.pct,nir.neospectra_cubist_ossl_na_v1.2,log1p,1032,0.381,-0.025,0.312,0.308,0.146,0.559,0.269,1.008,0.456,1.208
wr.33kPa_usda.a415_w.pct,visnir_cubist_ossl_na_v1.2,log1p,923,0.347,-0.037,0.573,0.56,0.396,0.757,0.447,1.011,0.697,1.657
zn.ext_usda.a1073_mg.kg,mir_cubist_kssl_na_v1.2,log1p,1534,0.364,0.023,0.736,0.728,0.58,0.858,0.605,0.973,0.831,2.469
zn.ext_usda.a1073_mg.kg,mir_cubist_ossl_na_v1.2,log1p,3760,0.353,0.032,0.603,0.592,0.426,0.777,0.473,0.961,0.724,1.725
