soil_property,dataset,n_mir,n_neospectra,n_visnir
caco3_usda.a54_w.pct,SCHIEDUNG.SSL,0,0,0
caco3_usda.a54_w.pct,SERBIA.SSL,45,0,0
cec_usda.a723_cmolc.kg,AFSIS1.SSL,0,0,0
cec_usda.a723_cmolc.kg,AFSIS2.SSL,0,0,0
cec_usda.a723_cmolc.kg,CAF.SSL,0,0,0
cec_usda.a723_cmolc.kg,GARRETT.SSL,183,0,0
cec_usda.a723_cmolc.kg,ICRAF.ISRIC,3652,0,3654
cec_usda.a723_cmolc.kg,KSSL.SSL,53227,1976,51
cec_usda.a723_cmolc.kg,LUCAS.SSL,0,0,18393
cec_usda.a723_cmolc.kg,LUCAS.WOODWELL.SSL,589,0,589
cec_usda.a723_cmolc.kg,OSSL,57651,1976,22687
cec_usda.a723_cmolc.kg,SCHIEDUNG.SSL,0,0,0
cec_usda.a723_cmolc.kg,SERBIA.SSL,0,0,0
cf_usda.c236_w.pct,AFSIS1.SSL,0,0,0
cf_usda.c236_w.pct,AFSIS2.SSL,0,0,0
cf_usda.c236_w.pct,CAF.SSL,0,0,0
cf_usda.c236_w.pct,GARRETT.SSL,0,0,0
cf_usda.c236_w.pct,ICRAF.ISRIC,0,0,0
cf_usda.c236_w.pct,KSSL.SSL,55881,1969,0
cf_usda.c236_w.pct,LUCAS.SSL,0,0,22648
cf_usda.c236_w.pct,LUCAS.WOODWELL.SSL,589,0,589
cf_usda.c236_w.pct,OSSL,56470,1969,23237
cf_usda.c236_w.pct,SCHIEDUNG.SSL,0,0,0
cf_usda.c236_w.pct,SERBIA.SSL,0,0,0
clay.tot_usda.a334_w.pct,AFSIS1.SSL,1896,0,0
clay.tot_usda.a334_w.pct,AFSIS2.SSL,0,0,0
clay.tot_usda.a334_w.pct,CAF.SSL,511,0,0
clay.tot_usda.a334_w.pct,GARRETT.SSL,142,0,0
clay.tot_usda.a334_w.pct,ICRAF.ISRIC,3738,0,3740
clay.tot_usda.a334_w.pct,KSSL.SSL,50007,1976,166
clay.tot_usda.a334_w.pct,LUCAS.SSL,0,0,22650
clay.tot_usda.a334_w.pct,LUCAS.WOODWELL.SSL,589,0,589
clay.tot_usda.a334_w.pct,OSSL,57268,1976,27145
clay.tot_usda.a334_w.pct,SCHIEDUNG.SSL,250,0,0
clay.tot_usda.a334_w.pct,SERBIA.SSL,135,0,0
cu.ext_usda.a1063_mg.kg,AFSIS1.SSL,1904,0,0
cu.ext_usda.a1063_mg.kg,AFSIS2.SSL,150,0,0
cu.ext_usda.a1063_mg.kg,CAF.SSL,0,0,0
cu.ext_usda.a1063_mg.kg,GARRETT.SSL,184,0,0
cu.ext_usda.a1063_mg.kg,ICRAF.ISRIC,0,0,0
cu.ext_usda.a1063_mg.kg,KSSL.SSL,1534,76,0
cu.ext_usda.a1063_mg.kg,LUCAS.SSL,0,0,0
cu.ext_usda.a1063_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
cu.ext_usda.a1063_mg.kg,OSSL,3772,76,0
cu.ext_usda.a1063_mg.kg,SCHIEDUNG.SSL,0,0,0
cu.ext_usda.a1063_mg.kg,SERBIA.SSL,0,0,0
dataset.code_ascii_txt,AFSIS1.SSL,1904,0,0
dataset.code_ascii_txt,AFSIS2.SSL,151,0,0
dataset.code_ascii_txt,CAF.SSL,1578,0,0
dataset.code_ascii_txt,GARRETT.SSL,184,0,0
dataset.code_ascii_txt,ICRAF.ISRIC,4071,0,4073
dataset.code_ascii_txt,KSSL.SSL,76813,1976,19807
dataset.code_ascii_txt,LUCAS.SSL,0,0,40175
dataset.code_ascii_txt,LUCAS.WOODWELL.SSL,589,0,589
dataset.code_ascii_txt,OSSL,85684,1976,64644
dataset.code_ascii_txt,SCHIEDUNG.SSL,259,0,0
dataset.code_ascii_txt,SERBIA.SSL,135,0,0
ec_usda.a364_ds.m,AFSIS1.SSL,1904,0,0
ec_usda.a364_ds.m,AFSIS2.SSL,0,0,0
ec_usda.a364_ds.m,CAF.SSL,0,0,0
ec_usda.a364_ds.m,GARRETT.SSL,0,0,0
ec_usda.a364_ds.m,ICRAF.ISRIC,0,0,0
ec_usda.a364_ds.m,KSSL.SSL,31886,942,51
ec_usda.a364_ds.m,LUCAS.SSL,0,0,21782
ec_usda.a364_ds.m,LUCAS.WOODWELL.SSL,0,0,0
ec_usda.a364_ds.m,OSSL,34040,942,21833
ec_usda.a364_ds.m,SCHIEDUNG.SSL,250,0,0
ec_usda.a364_ds.m,SERBIA.SSL,0,0,0
efferv_usda.a479_class,AFSIS1.SSL,0,0,0
efferv_usda.a479_class,AFSIS2.SSL,0,0,0
efferv_usda.a479_class,CAF.SSL,0,0,0
efferv_usda.a479_class,GARRETT.SSL,0,0,0
efferv_usda.a479_class,ICRAF.ISRIC,0,0,0
efferv_usda.a479_class,KSSL.SSL,74016,1973,19800
efferv_usda.a479_class,LUCAS.SSL,0,0,0
efferv_usda.a479_class,LUCAS.WOODWELL.SSL,0,0,0
efferv_usda.a479_class,OSSL,74016,1973,19800
efferv_usda.a479_class,SCHIEDUNG.SSL,0,0,0
efferv_usda.a479_class,SERBIA.SSL,0,0,0
fe.dith_usda.a66_w.pct,AFSIS1.SSL,0,0,0
fe.dith_usda.a66_w.pct,AFSIS2.SSL,0,0,0
fe.dith_usda.a66_w.pct,CAF.SSL,0,0,0
fe.dith_usda.a66_w.pct,GARRETT.SSL,0,0,0
fe.dith_usda.a66_w.pct,ICRAF.ISRIC,0,0,0
fe.dith_usda.a66_w.pct,KSSL.SSL,31138,1773,0
fe.dith_usda.a66_w.pct,LUCAS.SSL,0,0,0
fe.dith_usda.a66_w.pct,LUCAS.WOODWELL.SSL,0,0,0
fe.dith_usda.a66_w.pct,OSSL,31138,1773,0
fe.dith_usda.a66_w.pct,SCHIEDUNG.SSL,0,0,0
fe.dith_usda.a66_w.pct,SERBIA.SSL,0,0,0
fe.ext_aquaregia_g.kg,AFSIS1.SSL,0,0,0
fe.ext_aquaregia_g.kg,AFSIS2.SSL,0,0,0
fe.ext_aquaregia_g.kg,CAF.SSL,493,0,0
fe.ext_aquaregia_g.kg,GARRETT.SSL,0,0,0
fe.ext_aquaregia_g.kg,ICRAF.ISRIC,0,0,0
fe.ext_aquaregia_g.kg,KSSL.SSL,0,0,0
fe.ext_aquaregia_g.kg,LUCAS.SSL,0,0,0
fe.ext_aquaregia_g.kg,LUCAS.WOODWELL.SSL,0,0,0
fe.ext_aquaregia_g.kg,OSSL,493,0,0
fe.ext_aquaregia_g.kg,SCHIEDUNG.SSL,0,0,0
fe.ext_aquaregia_g.kg,SERBIA.SSL,0,0,0
fe.ext_usda.a1064_mg.kg,AFSIS1.SSL,1904,0,0
fe.ext_usda.a1064_mg.kg,AFSIS2.SSL,151,0,0
fe.ext_usda.a1064_mg.kg,CAF.SSL,0,0,0
fe.ext_usda.a1064_mg.kg,GARRETT.SSL,184,0,0
fe.ext_usda.a1064_mg.kg,ICRAF.ISRIC,0,0,0
fe.ext_usda.a1064_mg.kg,KSSL.SSL,1534,76,0
fe.ext_usda.a1064_mg.kg,LUCAS.SSL,0,0,0
fe.ext_usda.a1064_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
fe.ext_usda.a1064_mg.kg,OSSL,3773,76,0
fe.ext_usda.a1064_mg.kg,SCHIEDUNG.SSL,0,0,0
fe.ext_usda.a1064_mg.kg,SERBIA.SSL,0,0,0
fe.ox_usda.a60_w.pct,AFSIS1.SSL,0,0,0
fe.ox_usda.a60_w.pct,AFSIS2.SSL,0,0,0
fe.ox_usda.a60_w.pct,CAF.SSL,0,0,0
fe.ox_usda.a60_w.pct,GARRETT.SSL,0,0,0
fe.ox_usda.a60_w.pct,ICRAF.ISRIC,0,0,0
fe.ox_usda.a60_w.pct,KSSL.SSL,28259,1354,0
fe.ox_usda.a60_w.pct,LUCAS.SSL,0,0,0
fe.ox_usda.a60_w.pct,LUCAS.WOODWELL.SSL,0,0,0
fe.ox_usda.a60_w.pct,OSSL,28259,1354,0
fe.ox_usda.a60_w.pct,SCHIEDUNG.SSL,0,0,0
fe.ox_usda.a60_w.pct,SERBIA.SSL,0,0,0
id.layer_uuid_txt,AFSIS1.SSL,1904,0,0
id.layer_uuid_txt,AFSIS2.SSL,151,0,0
id.layer_uuid_txt,CAF.SSL,1578,0,0
id.layer_uuid_txt,GARRETT.SSL,184,0,0
id.layer_uuid_txt,ICRAF.ISRIC,4071,0,4073
id.layer_uuid_txt,KSSL.SSL,76813,1976,19807
id.layer_uuid_txt,LUCAS.SSL,0,0,40175
id.layer_uuid_txt,LUCAS.WOODWELL.SSL,589,0,589
id.layer_uuid_txt,OSSL,85684,1976,64644
id.layer_uuid_txt,SCHIEDUNG.SSL,259,0,0
id.layer_uuid_txt,SERBIA.SSL,135,0,0
k.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
k.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
k.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
k.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
k.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
k.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
k.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
k.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
k.ext_aquaregia_mg.kg,OSSL,493,0,0
k.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
k.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
k.ext_usda.a1065_mg.kg,AFSIS1.SSL,1904,0,0
k.ext_usda.a1065_mg.kg,AFSIS2.SSL,150,0,0
k.ext_usda.a1065_mg.kg,CAF.SSL,0,0,0
k.ext_usda.a1065_mg.kg,GARRETT.SSL,184,0,0
k.ext_usda.a1065_mg.kg,ICRAF.ISRIC,0,0,0
k.ext_usda.a1065_mg.kg,KSSL.SSL,1534,76,0
k.ext_usda.a1065_mg.kg,LUCAS.SSL,0,0,0
k.ext_usda.a1065_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
k.ext_usda.a1065_mg.kg,OSSL,3772,76,0
k.ext_usda.a1065_mg.kg,SCHIEDUNG.SSL,0,0,0
k.ext_usda.a1065_mg.kg,SERBIA.SSL,0,0,0
k.ext_usda.a725_cmolc.kg,AFSIS1.SSL,0,0,0
k.ext_usda.a725_cmolc.kg,AFSIS2.SSL,0,0,0
k.ext_usda.a725_cmolc.kg,CAF.SSL,0,0,0
k.ext_usda.a725_cmolc.kg,GARRETT.SSL,183,0,0
k.ext_usda.a725_cmolc.kg,ICRAF.ISRIC,3672,0,3674
k.ext_usda.a725_cmolc.kg,KSSL.SSL,53230,1976,51
k.ext_usda.a725_cmolc.kg,LUCAS.SSL,0,0,40175
k.ext_usda.a725_cmolc.kg,LUCAS.WOODWELL.SSL,589,0,589
k.ext_usda.a725_cmolc.kg,OSSL,57674,1976,44489
k.ext_usda.a725_cmolc.kg,SCHIEDUNG.SSL,0,0,0
k.ext_usda.a725_cmolc.kg,SERBIA.SSL,0,0,0
mg.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
mg.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
mg.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
mg.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
mg.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
mg.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
mg.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
mg.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
mg.ext_aquaregia_mg.kg,OSSL,493,0,0
mg.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
mg.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
mg.ext_usda.a1066_mg.kg,AFSIS1.SSL,1904,0,0
mg.ext_usda.a1066_mg.kg,AFSIS2.SSL,151,0,0
mg.ext_usda.a1066_mg.kg,CAF.SSL,0,0,0
mg.ext_usda.a1066_mg.kg,GARRETT.SSL,184,0,0
mg.ext_usda.a1066_mg.kg,ICRAF.ISRIC,0,0,0
mg.ext_usda.a1066_mg.kg,KSSL.SSL,1534,76,0
mg.ext_usda.a1066_mg.kg,LUCAS.SSL,0,0,0
mg.ext_usda.a1066_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
mg.ext_usda.a1066_mg.kg,OSSL,3773,76,0
mg.ext_usda.a1066_mg.kg,SCHIEDUNG.SSL,0,0,0
mg.ext_usda.a1066_mg.kg,SERBIA.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,AFSIS1.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,AFSIS2.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,CAF.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,GARRETT.SSL,183,0,0
mg.ext_usda.a724_cmolc.kg,ICRAF.ISRIC,3678,0,3680
mg.ext_usda.a724_cmolc.kg,KSSL.SSL,53232,1976,51
mg.ext_usda.a724_cmolc.kg,LUCAS.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,LUCAS.WOODWELL.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,OSSL,57093,1976,3731
mg.ext_usda.a724_cmolc.kg,SCHIEDUNG.SSL,0,0,0
mg.ext_usda.a724_cmolc.kg,SERBIA.SSL,0,0,0
mn.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
mn.ext_aquaregia_mg.kg,AFSIS2.SSL,0,0,0
mn.ext_aquaregia_mg.kg,CAF.SSL,493,0,0
mn.ext_aquaregia_mg.kg,GARRETT.SSL,0,0,0
mn.ext_aquaregia_mg.kg,ICRAF.ISRIC,0,0,0
mn.ext_aquaregia_mg.kg,KSSL.SSL,0,0,0
mn.ext_aquaregia_mg.kg,LUCAS.SSL,0,0,0
mn.ext_aquaregia_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
mn.ext_aquaregia_mg.kg,OSSL,493,0,0
mn.ext_aquaregia_mg.kg,SCHIEDUNG.SSL,0,0,0
mn.ext_aquaregia_mg.kg,SERBIA.SSL,0,0,0
mn.ext_usda.a1067_mg.kg,AFSIS1.SSL,1904,0,0
mn.ext_usda.a1067_mg.kg,AFSIS2.SSL,151,0,0
mn.ext_usda.a1067_mg.kg,CAF.SSL,0,0,0
mn.ext_usda.a1067_mg.kg,GARRETT.SSL,183,0,0
mn.ext_usda.a1067_mg.kg,ICRAF.ISRIC,0,0,0
mn.ext_usda.a1067_mg.kg,KSSL.SSL,1534,76,0
mn.ext_usda.a1067_mg.kg,LUCAS.SSL,0,0,0
mn.ext_usda.a1067_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
mn.ext_usda.a1067_mg.kg,OSSL,3772,76,0
mn.ext_usda.a1067_mg.kg,SCHIEDUNG.SSL,0,0,0
mn.ext_usda.a1067_mg.kg,SERBIA.SSL,0,0,0
mn.ext_usda.a70_mg.kg,AFSIS1.SSL,0,0,0
mn.ext_usda.a70_mg.kg,AFSIS2.SSL,0,0,0
mn.ext_usda.a70_mg.kg,CAF.SSL,0,0,0
mn.ext_usda.a70_mg.kg,GARRETT.SSL,0,0,0
mn.ext_usda.a70_mg.kg,ICRAF.ISRIC,0,0,0
mn.ext_usda.a70_mg.kg,KSSL.SSL,14166,716,0
mn.ext_usda.a70_mg.kg,LUCAS.SSL,0,0,0
mn.ext_usda.a70_mg.kg,LUCAS.WOODWELL.SSL,0,0,0
mn.ext_usda.a70_mg.kg,OSSL,14166,716,0
mn.ext_usda.a70_mg.kg,SCHIEDUNG.SSL,0,0,0
