Filename,URL,Description,Data_source
clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.nov.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.nov.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.oct.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.oct.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.sep.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.sep.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_lst_mod11a2.sep.night_m_1km_s0..0cm_2000..2017_v1.0.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_lst_mod11a2.sep.night_m_1km_s0..0cm_2000..2017_v1.0.tif,MOD11A2 long-term LST daytime / nighttime,https://doi.org/10.5281/zenodo.1420114
clm_precipitation_worldclim.apr_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.apr_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2000,https://www.worldclim.org/data/worldclim21.html
clm_precipitation_worldclim.aug_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.aug_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2001,https://www.worldclim.org/data/worldclim21.html
clm_precipitation_worldclim.dec_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.dec_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2002,https://www.worldclim.org/data/worldclim21.html
clm_precipitation_worldclim.feb_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.feb_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2003,https://www.worldclim.org/data/worldclim21.html
clm_precipitation_worldclim.jan_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.jan_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2004,https://www.worldclim.org/data/worldclim21.html
clm_precipitation_worldclim.jul_m_1km_1990..2010_v2.1.tif,http://s3.us-east-1.wasabisys.com/soilspectroscopy/layers1km/clm_precipitation_worldclim.jul_m_1km_1990..2010_v2.1.tif,WorldClim version 2.1 climate data for 1970-2005,https://www.worldclim.org/data/worldclim21.html
